id,name,state_id,is_legislator,chamber,start_command,end_command,block_id
law_deputy_235,"THOMAS, ENRIQUE LUIS",Mendoza,True,deputies,2009-12-10,2013-12-09,FRENTE PERONISTA
law_deputy_236,"TINEO, JAVIER HECTOR",La Rioja,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_237,"TOMAS, HECTOR DANIEL",San Juan,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_238,"TONELLI, PABLO GABRIEL",Ciudad Autónoma de Buenos Aires,True,deputies,2011-12-10,2015-12-09,PRO
law_deputy_239,"TRIACA, ALBERTO JORGE",Ciudad Autónoma de Buenos Aires,True,deputies,2009-12-10,2013-12-09,PRO
law_deputy_240,"TUNESSI, JUAN PEDRO",Buenos Aires,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_241,"UÑAC, JOSE RUBEN",San Juan,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_242,"VALINOTTO, JORGE ANSELMO",Córdoba,True,deputies,2011-12-10,2015-12-09,FRENTE CIVICO - CORDOBA
law_deputy_243,"VAQUIE, ENRIQUE ANDRES",Mendoza,True,deputies,2011-12-10,2015-12-09,UCR
law_deputy_244,"VEAUTE, MARIANA ALEJANDRA",Catamarca,True,deputies,2009-12-10,2013-12-09,FRENTE RENOVADOR
law_deputy_245,"VIDELA, NORA ESTHER",San Luis,True,deputies,2009-12-10,2013-12-09,COMPROMISO FEDERAL
law_deputy_246,"VILARIÑO, JOSE ANTONIO",Salta,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_247,"VILLA, JOSE ANTONIO",San Juan,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_248,"VILLATA, GRACIELA SUSANA",Córdoba,True,deputies,2011-12-10,2015-12-09,FRENTE CIVICO - CORDOBA
law_deputy_249,"WAYAR, WALTER RAUL",Salta,True,deputies,2009-12-10,2013-12-09,FRENTE PERONISTA FEDERAL
law_deputy_250,"YAGÜE, LINDA CRISTINA",Neuquén,True,deputies,2009-12-10,2013-12-09,UCR
law_deputy_251,"YARADE, FERNANDO",Salta,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_252,"YAZBEK, RUBEN DAVID",Catamarca,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_253,"YOMA, JORGE RAUL",La Rioja,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_254,"ZABALZA, JUAN CARLOS",Santa Fe,True,deputies,2011-12-10,2015-12-09,PARTIDO SOCIALISTA
law_deputy_255,"ZAMARREÑO, MARIA EUGENIA",Buenos Aires,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_256,"ZIEBART, CRISTINA ISABEL",Chubut,True,deputies,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ
law_deputy_257,"ZIEGLER, ALEX ROBERTO",Misiones,True,deputies,2009-12-10,2013-12-09,FRENTE PARA LA VICTORIA - PJ
